城市,渠道,线索数,订单数,有效跟进线索数,有效跟进次数,转化率,跟进覆盖率,机会量,优先级分,建议
重庆,懂车帝,389,104,377,841,0.26735218508997427,0.9691516709511568,15.300267379679159,50.68337617823478,优先诊断线索承接与跟进流程
广州,门店,158,31,156,342,0.1962025316455696,0.9873417721518988,17.456149732620325,50.63291139240506,优先诊断线索承接与跟进流程
北京,抖音,306,79,296,654,0.2581699346405229,0.9673202614379085,14.845454545454542,49.91285403050109,优先诊断线索承接与跟进流程
杭州,官网,274,72,263,573,0.26277372262773724,0.9598540145985401,12.031550802139039,49.40693430656934,优先诊断线索承接与跟进流程
广州,抖音,277,74,272,609,0.26714801444043323,0.9819494584837545,10.951604278074864,47.50902527075812,优先诊断线索承接与跟进流程
深圳,车展,170,42,161,377,0.24705882352941178,0.9470588235294117,10.136363636363637,47.38235294117647,优先诊断线索承接与跟进流程
西安,抖音,307,84,299,674,0.2736156351791531,0.9739413680781759,10.152139037433157,47.027687296416936,优先诊断线索承接与跟进流程
成都,抖音,318,88,312,705,0.27672955974842767,0.9811320754716981,9.525668449197868,45.0,优先诊断线索承接与跟进流程
重庆,朋友推荐,213,56,207,462,0.26291079812206575,0.971830985915493,9.323796791443849,44.55399061032864,优先诊断线索承接与跟进流程
重庆,官网,281,77,268,605,0.27402135231316727,0.9537366548042705,9.178342245989308,44.4661921708185,优先诊断线索承接与跟进流程
成都,官网,281,78,272,609,0.2775800711743772,0.9679715302491103,8.178342245989311,43.00118623962041,优先诊断线索承接与跟进流程
杭州,朋友推荐,242,67,233,532,0.2768595041322314,0.9628099173553719,7.217647058823528,41.48760330578512,优先诊断线索承接与跟进流程
深圳,官网,322,91,318,719,0.2826086956521739,0.9875776397515528,7.7524064171123115,41.34057971014493,优先诊断线索承接与跟进流程
深圳,朋友推荐,221,61,215,492,0.27601809954751133,0.9728506787330317,6.7772727272727264,40.23001508295625,优先诊断线索承接与跟进流程
广州,朋友推荐,230,65,225,518,0.2826086956521739,0.9782608695652174,5.5374331550802225,39.16666666666667,优先诊断线索承接与跟进流程
北京,朋友推荐,193,54,190,415,0.27979274611398963,0.9844559585492227,5.190106951871662,38.082901554404145,保持监测并做小规模验证
杭州,门店,149,42,143,336,0.28187919463087246,0.959731543624161,3.6959893048128394,37.27628635346757,提升有效跟进覆盖
成都,门店,144,39,142,304,0.2708333333333333,0.9861111111111112,5.162566844919791,37.175925925925924,保持监测并做小规模验证
武汉,车展,181,52,178,412,0.287292817679558,0.9834254143646409,3.5098930481283475,35.58011049723757,保持监测并做小规模验证
西安,官网,326,97,317,705,0.29754601226993865,0.9723926380368099,2.979144385026742,35.109918200409,提升有效跟进覆盖
西安,车展,155,45,153,357,0.2903225806451613,0.9870967741935484,2.536096256684491,33.76344086021505,保持监测并做小规模验证
南京,朋友推荐,225,67,215,473,0.29777777777777775,0.9555555555555556,2.004010695187175,33.07407407407407,提升有效跟进覆盖
重庆,抖音,324,97,319,701,0.2993827160493827,0.9845679012345679,2.3657754010695244,33.00154320987654,保持监测并做小规模验证
西安,朋友推荐,247,74,242,539,0.29959514170040485,0.979757085020243,1.7510695187165823,31.457489878542507,保持监测并做小规模验证
北京,官网,324,98,316,703,0.30246913580246915,0.9753086419753086,1.3657754010695202,30.740740740740744,保持监测并做小规模验证
西安,门店,166,50,160,363,0.30120481927710846,0.963855421686747,0.9096256684491961,30.220883534136547,提升有效跟进覆盖
成都,车展,146,44,145,315,0.3013698630136986,0.9931506849315068,0.7759358288770101,28.527397260273972,保持监测并做小规模验证
杭州,抖音,312,95,301,697,0.30448717948717946,0.9647435897435898,0.6855614973262165,28.46955128205128,提升有效跟进覆盖
杭州,车展,154,47,148,333,0.3051948051948052,0.961038961038961,0.2294117647058862,27.705627705627705,提升有效跟进覆盖
北京,车展,170,52,164,375,0.3058823529411765,0.9647058823529412,0.13636363636363502,26.745098039215687,提升有效跟进覆盖
南京,门店,149,50,140,305,0.33557046979865773,0.9395973154362416,0.0,13.696868008948547,提升有效跟进覆盖
南京,懂车帝,333,114,320,697,0.34234234234234234,0.960960960960961,0.0,13.42092092092092,提升有效跟进覆盖
深圳,懂车帝,374,115,360,849,0.3074866310160428,0.9625668449197861,0.0,13.400178253119433,提升有效跟进覆盖
深圳,门店,138,47,133,297,0.34057971014492755,0.9637681159420289,0.0,13.384661835748796,提升有效跟进覆盖
武汉,门店,115,36,111,245,0.3130434782608696,0.9652173913043478,0.0,13.36594202898551,提升有效跟进覆盖
成都,朋友推荐,233,75,225,473,0.3218884120171674,0.9656652360515021,0.0,13.3601573676681,提升有效跟进覆盖
深圳,抖音,293,98,284,641,0.33447098976109213,0.9692832764505119,0.0,13.313424345847556,提升有效跟进覆盖
上海,官网,297,95,288,659,0.31986531986531985,0.9696969696969697,0.0,13.30808080808081,提升有效跟进覆盖
南京,抖音,302,97,293,677,0.3211920529801324,0.9701986754966887,0.0,13.301600441501105,提升有效跟进覆盖
上海,懂车帝,343,123,333,736,0.358600583090379,0.9708454810495627,0.0,13.293245869776484,提升有效跟进覆盖
广州,官网,277,87,269,596,0.3140794223826715,0.9711191335740073,0.0,13.28971119133574,提升有效跟进覆盖
上海,朋友推荐,215,77,209,482,0.3581395348837209,0.9720930232558139,0.0,13.27713178294574,提升有效跟进覆盖
广州,懂车帝,383,125,373,838,0.3263707571801567,0.9738903394255874,0.0,13.253916449086162,提升有效跟进覆盖
成都,懂车帝,384,122,374,856,0.3177083333333333,0.9739583333333334,0.0,13.253038194444443,保持监测并做小规模验证
南京,车展,156,57,152,333,0.36538461538461536,0.9743589743589743,0.0,13.247863247863249,保持监测并做小规模验证
上海,抖音,318,101,310,682,0.31761006289308175,0.9748427672955975,0.0,13.2416142557652,保持监测并做小规模验证
杭州,懂车帝,378,128,369,844,0.3386243386243386,0.9761904761904762,0.0,13.22420634920635,保持监测并做小规模验证
北京,懂车帝,348,112,340,774,0.3218390804597701,0.9770114942528736,0.0,13.21360153256705,保持监测并做小规模验证
武汉,懂车帝,325,111,318,726,0.3415384615384615,0.9784615384615385,0.0,13.194871794871796,保持监测并做小规模验证
上海,车展,149,48,146,328,0.3221476510067114,0.9798657718120806,0.0,13.176733780760626,保持监测并做小规模验证
上海,门店,151,49,148,334,0.32450331125827814,0.9801324503311258,0.0,13.173289183222957,保持监测并做小规模验证
武汉,朋友推荐,206,69,202,461,0.33495145631067963,0.9805825242718447,0.0,13.16747572815534,保持监测并做小规模验证
广州,车展,156,48,153,339,0.3076923076923077,0.9807692307692307,0.0,13.165064102564102,保持监测并做小规模验证
武汉,抖音,317,104,311,693,0.3280757097791798,0.9810725552050473,0.0,13.161146161934806,保持监测并做小规模验证
西安,懂车帝,370,116,363,806,0.31351351351351353,0.981081081081081,0.0,13.161036036036037,保持监测并做小规模验证
重庆,门店,159,50,156,338,0.31446540880503143,0.9811320754716981,0.0,13.160377358490567,保持监测并做小规模验证
南京,官网,319,103,314,714,0.322884012539185,0.9843260188087775,0.0,13.119122257053291,保持监测并做小规模验证
武汉,官网,299,99,295,688,0.3311036789297659,0.9866220735785953,0.0,13.089464882943146,保持监测并做小规模验证
重庆,车展,142,44,141,324,0.30985915492957744,0.9929577464788732,0.0,13.007629107981222,保持监测并做小规模验证
北京,门店,166,53,165,372,0.3192771084337349,0.9939759036144579,0.0,12.99447791164659,保持监测并做小规模验证
