线索ID,日期,城市,渠道,客户年龄,客户性别,试驾时长,是否下订,is_outlier,试驾时长_raw,线索月份,跟进总次数,平均沟通时长,最大沟通时长,沟通时长标准差,最早跟进日期,最晚跟进日期,主要跟进方式,电话占比,微信占比,面谈占比,主要销售员ID,涉及销售员数,首次跟进间隔天数,跟进天数跨度,跟进强度,订单ID,交付日期,车型,配置,颜色,交付里程,是否延迟交付,交付评分,线索到交付天数,投诉次数,主要投诉类型,投诉类型数,平均处理时长,最大处理时长,售后平均满意度,售后最低满意度,是否有投诉,销售员ID,销售员城市,主要销售员职级,销售员入职日期,主要销售员绩效,销售员经验天数,租金(万),水电(万),市场费用(万),总运营成本万,年龄分段,是否周末,季度,城市当月线索数,渠道历史转化率,销售员历史转化率
L000001,2025-08-22,重庆,抖音,46,男,15,0,0,15,2025-08,2,14.5,22.6,3.1,2025-08-26,2025-09-04,微信,0.381,0.573,0.046,S027,2,4,9,0.2,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S027,重庆,高级,2021-07-15,C,1499,27.38,5.52,28.64,30.63,46-55,0,2025Q3,16,0.27,0.261
L000002,2025-11-01,广州,懂车帝,38,男,35,0,0,35,2025-11,2,15.9,33.8,6.5,2025-11-07,2025-11-26,电话,0.465,0.319,0.216,S022,3,6,19,0.1,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S022,广州,高级,2021-07-01,B,1584,23.36,2.77,32.68,65.02,36-45,1,2025Q4,17,0.34,0.343
L000003,2025-07-08,成都,懂车帝,46,女,32,0,0,32,2025-07,5,12.7,27.8,3.6,2025-07-13,2025-07-14,电话,0.435,0.296,0.269,S032,2,5,1,2.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S032,成都,高级,2023-08-14,B,694,22.99,5.66,24.94,34.43,46-55,0,2025Q3,14,0.34,0.278
L000004,2025-10-18,重庆,门店,38,女,43,0,0,43,2025-10,2,20.0,31.6,7.5,2025-10-23,2025-11-10,电话,0.521,0.438,0.041,S011,3,5,18,0.105,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S011,重庆,高级,2021-05-13,A,1619,30.05,2.87,13.75,33.65,36-45,1,2025Q4,23,0.31,0.384
L000005,2025-10-16,南京,抖音,46,男,15,0,0,15,2025-10,0,0.0,0.0,0.0,2025-10-16,2025-10-16,电话,0.613,0.343,0.044,S049,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,南京,高级,2022-09-27,A,1115,29.51,5.06,40.98,68.9,46-55,0,2025Q4,12,0.27,0.288
L000006,2025-09-11,深圳,小红书,27,男,33,0,0,33,2025-09,0,0.0,0.0,0.0,2025-09-11,2025-09-11,电话,0.683,0.212,0.105,S007,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S007,深圳,高级,2021-03-01,B,1655,31.72,2.47,9.19,42.23,26-35,0,2025Q3,19,0.29,0.318
L000007,2025-12-04,杭州,抖音,31,女,35,0,0,35,2025-12,5,16.4,29.8,8.8,2025-12-05,2025-12-11,电话,0.637,0.174,0.189,S010,1,1,6,0.714,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S010,杭州,中级,2021-12-06,C,1459,30.49,6.41,18.42,49.25,26-35,0,2025Q4,17,0.27,0.377
L000008,2025-09-28,北京,抖音,25,女,43,0,0,43,2025-09,4,17.0,31.5,2.6,2025-09-30,2025-10-05,面谈,0.114,0.188,0.698,S002,3,2,5,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S002,北京,初级,2021-04-26,B,1616,10.26,2.37,37.7,29.88,18-25,1,2025Q3,12,0.27,0.36
L000009,2025-10-13,南京,懂车帝,42,男,44,1,0,44,2025-10,3,19.3,35.1,2.2,2025-10-19,2025-10-24,电话,0.585,0.372,0.042,S009,1,6,5,0.5,O000008,2025-12-01,G9,702 Pro,暗夜黑,218.0,0.0,3.5,49.0,0,无,0,0.0,0.0,0.0,0.0,0,S009,南京,中级,2021-10-10,A,1464,22.83,4.81,29.04,44.39,36-45,0,2025Q4,12,0.34,0.316
L000010,2025-08-22,西安,小红书,49,男,50,0,0,50,2025-08,1,13.5,33.0,0.0,2025-08-26,2025-09-02,微信,0.101,0.776,0.123,S019,3,4,7,0.125,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S019,西安,中级,2022-07-16,C,1133,13.41,3.46,21.89,45.23,46-55,0,2025Q3,18,0.29,0.234
L000011,2025-08-23,上海,小红书,40,女,32,0,0,32,2025-08,6,14.2,25.5,7.3,2025-08-28,2025-09-05,电话,0.719,0.231,0.05,S025,3,5,8,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S025,上海,中级,2021-07-08,C,1507,12.04,6.34,35.71,36.88,36-45,1,2025Q3,14,0.29,0.273
L000012,2025-09-28,南京,门店,32,男,22,0,0,22,2025-09,4,32.7,36.8,4.7,2025-10-04,2025-10-10,微信,0.371,0.582,0.047,S033,1,6,6,0.571,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S033,南京,中级,2023-01-21,B,981,16.3,6.04,40.5,30.31,26-35,1,2025Q3,23,0.31,0.304
L000013,2025-08-11,杭州,抖音,38,男,21,1,0,21,2025-08,3,25.1,40.3,7.1,2025-08-16,2025-08-29,微信,0.453,0.467,0.081,S011,2,5,13,0.214,O000012,2025-10-22,G9,650 Max,月光银,71.0,0.0,3.6,72.0,0,无,0,0.0,0.0,0.0,0.0,0,S011,杭州,资深,2023-02-14,A,909,24.21,3.97,22.63,73.76,36-45,0,2025Q3,19,0.27,0.373
